product_name,brand,series,cpu,ram,storage,gpu,screen,refresh_rate,os,color_from_title,price,link
HP Victus Gaming Laptop 15-fb3015ne Ryzen 7-7445HS,HP,Victus,Ryzen 7-7445HS,16GB Ram,,RTX 4050 6GB,"15.6""",144Hz,Windows 11,,,https://www.amazon.eg/-/en/HP-15-fb3015ne-7-7445HS-512GB-SSD-Keyboard/dp/B0FVXT46RH/ref=sr_1_11?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-11
Lenovo Loq Essential 15IAX9E Gaming: Core i5-12450HX,Lenovo,LOQ,,12GB Ram,512GB SSD,RTX 3050 6GB,"15.6""",144Hz,Windows 11,Grey,"39,999",https://www.amazon.eg/-/en/Lenovo-Essential-15IAX9E-Gaming-FHD-144Hz-300nits/dp/B0FG3LB357/ref=sr_1_12?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-12
Lenovo LOQ 15IRX10 Gaming Laptop,Lenovo,LOQ,Intel Core i7-13700HX,16GB RAM,512GB SSD,RTX 5060 8GB,"15.6""",144Hz,DOS,Luna Grey,"70,342",https://www.amazon.eg/-/en/Lenovo-15IRX10-Gaming-i7-13700HX-Warranty/dp/B0G43P1GX2/ref=sr_1_13?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-13
"Dell 2025 Gaming Laptop | Alienware 16 Aurora | Intel 10-Core 7 240H | NVIDIA GeForce RTX 5060 8GB | 32GB DDR5 | 1TB SSD | 16"" 2560x1600 120Hz | Win11 Home - Wi-Fi - BT 5.3 - Backlit KB - Indigo",Dell,Alienware,Core 7 240H,32GB DDR5,1TB SSD,RTX 5060 8GB,"16""",120Hz,Win11,Indigo,"98,999",https://www.amazon.eg/-/en/Dell-Alienware-10-Core-GeForce-2560x1600/dp/B0FH22MV4T/ref=sr_1_14?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-14
ASUS TUF Gaming [FA401KH-RG019W] AMD Ryzen™ AI 7 350 / LPDDR5X 16GB / 1TB SSD/RTX™ 5050 8GB DDR7 / WIN 11,ASUS,TUF,,8GB DDR,1TB SSD,RTX™ 5050 8GB,,,WIN 11,,"70,700",https://www.amazon.eg/-/en/ASUS-Gaming-FA401KH-RG019W-RyzenTM-LPDDR5X/dp/B0FW5TPV1Q/ref=sr_1_15?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-15
HP Omen 16-am0026ne:Intel Core Ultra 7-255H Processor,HP,Omen,Core Ultra 7-255H,16GB,,RTX 5050,"16""",144Hz,Win11,Black,"79,039",https://www.amazon.eg/-/en/HP-Omen-16-am0026ne-Processor-512GB-SSD/dp/B0GGJ62D3K/ref=sr_1_16?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-16
Lenovo Loq Essential 15IAX9E Gaming: Ci5-12450HX 16GB 512GB SSD,Lenovo,LOQ,,16GB,512GB SSD,RTX 4050 6GB,"15.6""",144Hz,,Grey,"44,666",https://www.amazon.eg/-/en/Lenovo-Essential-15IAX9E-Gaming-Backlit/dp/B0FQ2W8KYZ/ref=sr_1_17?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-17
Hp Victus 15-fa1041ne Gaming Laptop - 13th Intel i5-13500H 12-Cores,HP,Victus,Intel i5-13500H,8GB RAM,512GB SSD,GeForce RTX 3050,"15.6""",144Hz,,Blue,"42,999",https://www.amazon.eg/-/en/Victus-15-fa1041ne-Gaming-Laptop-Performance/dp/B0DDQTWY8P/ref=sr_1_18?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-18
HP Victus Gaming 15-fb0034ne Laptop - Ryzen 7-5800H 8-Cores,HP,Victus,Ryzen 7-5800H,16 GB RAM,512 GB SSD,RTX 3050 4GB,"15.6""",144Hz,Windows 11,,"44,999",https://www.amazon.eg/-/en/HP-Victus-Gaming-15-fb0034ne-Laptop/dp/B0CYNCBCWM/ref=sr_1_19?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-19
Lenovo Loq 15IAX9 Gaming: Core i5-13450HX,Lenovo,LOQ,,16GB Ram,512GB SSD,RTX 3050 6GB,"15.6""",144Hz,,,"47,777",https://www.amazon.eg/-/en/Lenovo-15IAX9-Gaming-FHD-144Hz-300nits-Backlit/dp/B0GHZ47KRT/ref=sr_1_20?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-20
